year,Urban_Background
1990,53.79893865
1991,58.69095428
1992,59.75299844
1993,52.20461276
1994,49.03697708
1995,48.02974649
1996,47.37690938
1997,46.04241651
1998,40.67055016
1999,39.70149469
2000,35.87412261
2001,35.67034383
2002,32.70588269
2003,35.09244421
2004,32.24445677
2005,32.22305387
2006,31.66649107
2007,28.23306267
2008,28.04246969
2009,28.8757873
2010,31.09338229
2011,26.72221089
2012,26.57914912
2013,25.27971525
2014,24.79922863
2015,22.89273206
2016,23.3226594
2017,21.74204695
2018,20.00237934
2019,19.56350789
2020,15.06691545
2021,15.86556864
2022,15.63964681
